,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,KL,CH,Hartigan,CCC,Scott,Marriot,TrCovW,TraceW,Friedman,Rubin,Cindex,DB,Silhouette,Duda,PseudoT2,Beale,Ratkowsky,Ball,PtBiserial,Frey,McClain,Dunn,Hubert,SDindex,Dindex,SDbw
22,D:\Z - Saved SQL Databases\44OP-147028_UT_GEO_Package_6\JobDB.mdf,9,49,0,0,49,0,0,0,0,2,2,3,2,3,8,3,3,10,8,7,17,2,2,2,2,3,3,3,1,2,2,0,17,0,17
23,D:\Z - Saved SQL Databases\44OP-165943_Cirrus_Logic_HQ_Ph_2\JobDB.mdf,16,61,0,2,46,13,0,0,0,5,5,5,9,3,3,3,5,3,5,8,24,9,2,2,2,4,3,9,1,2,10,0,9,0,24
24,D:\Z - Saved SQL Databases\44OP-166059_Baylor_Elliston_Chapel\JobDB.mdf,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,D:\Z - Saved SQL Databases\44OP-170006_TXSU_Jones_Dining_Hall_Reno_chase\JobDB.mdf,25,126,0,2,123,1,0,0,0,5,5,4,12,3,3,4,4,24,5,11,14,14,2,2,2,4,3,14,1,2,32,0,14,0,33
26,D:\Z - Saved SQL Databases\44OP-142255_TFC_NSOC\JobDB.mdf,7,30,0,0,29,1,0,0,0,5,5,5,5,15,3,3,3,15,5,7,8,8,2,2,2,5,3,8,1,2,13,0,8,0,15
27,D:\Z - Saved SQL Databases\44OP-151758_Baylor_Business_School\JobDB.mdf,67,1809,1552,6,215,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D:\Z - Saved SQL Databases\44OP-156184_TFC_INS_PDB\JobDB.mdf,9,33,14,0,16,3,0,0,0,2,2,8,2,3,3,3,3,15,9,4,17,17,2,2,2,2,3,8,1,2,17,0,8,0,17
29,D:\Z - Saved SQL Databases\44OP-143748_UT_EERC\JobDB.mdf,39,60,0,0,60,0,0,0,0,2,2,3,9,10,3,3,3,47,10,7,47,47,2,2,2,3,3,10,2,2,47,0,11,0,47
30,D:\Z - Saved SQL Databases\44OP-156674_RRMC_NUC_CATH\JobDB.mdf,6,49,0,49,0,0,0,0,0,6,3,3,5,3,3,3,3,3,5,5,6,5,2,2,6,4,3,6,1,2,6,0,6,0,14
31,D:\Z - Saved SQL Databases\44OP-146488_TFC_DSHS_A600_Labs_Ph3\JobDB.mdf,16,34,5,0,1,28,0,0,0,7,7,3,7,3,3,3,3,24,11,10,24,24,2,2,2,4,3,12,2,2,24,0,12,0,24
32,D:\Z - Saved SQL Databases\44OP-140618_TAMU_CC_Dining_Hall\JobDB.mdf,2,31,15,0,16,0,0,0,0,2,2,3,2,7,7,4,3,4,3,10,2,2,2,2,2,2,3,2,4,2,2,0,2,0,10
33,D:\Z - Saved SQL Databases\44OP-154233_BU_Penland_Hall_Dining\JobDB.mdf,47,177,3,1,171,2,0,0,0,28,10,10,11,4,4,3,5,4,11,9,14,11,2,2,2,7,3,14,1,2,14,0,9,0,55
34,D:\Z - Saved SQL Databases\44OP-155245_BRIC_Region_12_ESC\JobDB.mdf,81,768,2,5,500,257,4,0,0,2,8,10,86,3,3,4,3,4,17,23,89,10,2,2,2,6,3,17,1,2,2,0,6,0,89
35,D:\Z - Saved SQL Databases\44OP-124719_TAMU_Library\JobDB.mdf,40,307,22,1,280,4,0,0,0,2,10,5,17,5,4,3,5,5,13,38,19,14,2,2,2,5,3,17,1,2,47,0,15,0,48
36,D:\Z - Saved SQL Databases\44OP-159998 Jamie\JobDB.mdf,47,433,70,5,285,73,0,0,0,2,2,5,27,5,5,4,5,43,22,33,23,22,2,2,2,5,3,18,1,2,2,0,17,0,55
37,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research\JobDB.mdf,31,159,0,0,159,0,0,0,0,29,3,12,17,3,3,3,3,39,12,13,33,33,2,2,2,4,3,17,1,2,23,0,17,0,39
38,D:\Z - Saved SQL Databases\44OP-171481_100_Congress_Civitas\JobDB.mdf,3,24,0,0,0,24,0,0,0,2,2,3,2,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,1,2,11,0,3,0,11
39,D:\Z - Saved SQL Databases\44OP-127929_Baylor_Planters_House\JobDB.mdf,1,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,D:\Z - Saved SQL Databases\44OP-168489_Baylor_Fast_Forward\JobDB.mdf,123,716,33,35,241,399,8,0,0,9,2,8,89,3,3,3,3,89,8,84,126,8,8,8,2,3,3,8,1,2,5,0,8,0,131
41,D:\Z - Saved SQL Databases\44OP-117216_UMHB_Stadium\JobDB.mdf,75,409,1,1,328,79,0,0,0,35,2,3,27,3,3,3,3,66,14,40,83,29,2,2,2,3,3,4,1,2,3,0,10,0,83
42,D:\Z - Saved SQL Databases\44OP-148606_BU_RANEY_SMITH\JobDB.mdf,15,50,0,0,11,39,0,0,0,12,3,3,11,3,3,4,3,20,12,11,23,2,2,2,2,6,3,8,2,2,2,0,9,0,23
43,D:\Z - Saved SQL Databases\44OP-170006_TXSU_Jones_Dining_Hall_Reno\JobDB.mdf,39,152,0,4,147,1,0,0,0,11,5,4,11,4,3,4,4,4,11,15,18,15,2,2,2,4,3,18,1,2,44,0,18,0,47
44,D:\Z - Saved SQL Databases\44OP-169562_Prudential_Overall_Supply\JobDB.mdf,1,307,307,0,0,0,0,0,0,7,2,6,2,3,8,3,6,4,6,9,9,2,2,2,2,6,3,9,1,2,9,0,9,0,9
45,D:\Z - Saved SQL Databases\44OP-158160_Baylor_Armstrong_Browning_AHU\JobDB.mdf,2,35,13,0,22,0,0,0,0,2,2,3,2,3,3,3,3,9,3,6,2,2,2,2,2,2,3,2,4,2,2,0,2,0,10
46,D:\Z - Saved SQL Databases\44OP-167838_Baylor_Athletic_Nutrition\JobDB.mdf,25,34,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,D:\Z - Saved SQL Databases\44OP-159356_TSC_ITECC\JobDB.mdf,4,30,0,0,0,30,0,0,0,5,4,4,4,3,3,3,4,3,4,4,5,4,2,2,5,4,3,5,1,2,12,0,5,0,12
48,D:\Z - Saved SQL Databases\44OP-145864_SDMC_32nd_AHU_Replacement\JobDB.mdf,3,58,0,0,0,58,0,0,0,2,2,3,2,3,3,3,3,3,3,11,2,2,2,2,2,2,3,3,1,2,2,0,2,0,11
49,D:\Z - Saved SQL Databases\44OP-138488_TFC_LBJ_DMP_Phase_1\JobDB.mdf,16,312,0,0,312,0,0,0,0,9,9,9,9,3,3,3,9,6,9,8,10,9,2,2,2,8,3,9,1,2,10,0,9,0,24
50,D:\Z - Saved SQL Databases\44OP-167901_Intel_AN4_3B\JobDB.mdf,4,44,0,0,0,40,4,0,0,3,2,3,3,4,4,3,3,4,3,2,4,3,2,2,3,3,3,4,1,2,11,0,4,0,12
51,D:\Z - Saved SQL Databases\44OP-123360_S&W_POB\JobDB.mdf,18,179,0,2,177,0,0,0,0,7,7,6,10,3,3,4,6,5,6,10,13,7,2,2,2,6,3,11,1,2,25,0,8,0,26
52,D:\Z - Saved SQL Databases\44OP-087407_UT_LIBERAL_ARTS\JobDB.mdf,23,430,0,4,370,56,0,0,0,3,2,12,31,3,9,4,4,29,12,28,30,31,2,2,2,6,3,29,1,2,29,0,30,0,31
53,D:\Z - Saved SQL Databases\44OP-150580_NEC_Lakeline\JobDB.mdf,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,D:\Z - Saved SQL Databases\44OP-124807_TFC_Moreton\JobDB.mdf,34,308,0,3,298,7,0,0,0,3,2,16,41,3,8,3,7,22,26,39,41,38,2,2,2,5,3,31,1,2,41,0,22,0,42
55,D:\Z - Saved SQL Databases\44OP-159991 Neighbors\JobDB.mdf,6,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,D:\Z - Saved SQL Databases\44OP-169908_Seton_HL_New_OA_Units\JobDB.mdf,2,30,0,0,30,0,0,0,0,3,2,10,2,8,5,3,4,7,4,8,2,2,2,2,2,2,3,2,4,2,2,0,10,0,10
57,D:\Z - Saved SQL Databases\44OP-152078_AT&T_LABS MBC\JobDB.mdf,85,528,209,276,14,22,4,1,2,2,9,8,22,4,5,5,5,8,8,21,8,9,2,2,2,6,3,8,1,2,90,0,7,0,93
58,D:\Z - Saved SQL Databases\44OP-167361_TFC_ DSHS_Fast_Forward\JobDB.mdf,16,42,0,0,28,12,2,0,0,7,2,7,7,24,4,3,4,24,7,19,24,23,2,2,2,6,3,9,1,2,23,0,23,0,24
59,D:\Z - Saved SQL Databases\44OP-102233_Seton_HL_Chiller\JobDB.mdf,2,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,D:\Z - Saved SQL Databases\44OP-168475_UT_Townes_Hall_HVAC_Proj_Ph_2\JobDB.mdf,7,108,0,0,92,16,0,0,0,4,3,4,7,3,3,3,3,3,4,6,7,4,2,2,2,3,3,7,1,2,13,0,7,0,15
61,D:\Z - Saved SQL Databases\44OP-150108_TAMUHSC_MRB_MBC_FF\JobDB.mdf,40,435,412,9,14,0,0,0,0,7,2,8,2,3,14,3,3,5,40,39,47,42,2,2,2,6,3,21,1,2,47,0,41,0,48
62,D:\Z - Saved SQL Databases\44OP-146257_Baylor_Track\JobDB.mdf,27,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,D:\Z - Saved SQL Databases\44OP-149430-TFC_JHW_Monitor_DC\JobDB.mdf,86,295,10,0,87,175,23,0,0,2,11,6,45,3,4,4,6,6,11,64,94,14,2,2,2,6,3,14,1,2,93,0,9,0,94
64,D:\Z - Saved SQL Databases\44OP-154286_Intel_AN4_Data_Center\JobDB.mdf,29,66,0,0,18,43,5,0,0,11,5,5,11,3,3,3,4,35,11,8,37,21,2,2,2,4,3,6,1,2,33,0,9,0,37
65,D:\Z - Saved SQL Databases\44OP-166628_Baylor_BRIC_Dr_Birkeland\JobDB.mdf,3,58,0,0,47,11,0,0,0,2,2,3,2,3,3,4,3,10,9,11,2,2,2,2,2,3,3,2,2,2,2,0,2,0,11
66,D:\Z - Saved SQL Databases\44OP-170871_SDMC_MRI_Addition\JobDB.mdf,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,D:\Z - Saved SQL Databases\44OP-147230_TFC_WBT_and_SFA\JobDB.mdf,66,272,2,1,260,9,0,0,0,2,17,13,22,4,5,3,5,13,13,19,27,21,2,2,2,5,3,24,2,2,61,0,14,0,74
68,D:\Z - Saved SQL Databases\44OP-159849 UT EERC-ECJ 2nd Flr\JobDB.mdf,39,61,0,0,61,0,0,0,0,2,2,3,10,8,3,3,3,8,10,10,47,47,2,2,2,5,3,11,2,2,47,0,11,0,47
69,D:\Z - Saved SQL Databases\44OP-151233_SAMC_Pharmacy_Reno\JobDB.mdf,8,32,1,0,0,31,0,0,0,3,2,3,3,4,3,3,3,4,3,2,4,4,2,2,3,3,3,4,1,2,15,0,4,0,16
70,D:\Z - Saved SQL Databases\44OP-159998CHASE\JobDB.mdf,69,225,27,18,141,22,4,11,2,2,7,13,21,3,5,3,3,21,13,16,77,13,2,2,2,6,3,13,2,2,77,0,12,0,77
71,D:\Z - Saved SQL Databases\44OP-075294 SAMC New Const Ph 3 4 5\JobDB.mdf,4,138,0,0,0,138,0,0,0,5,5,5,9,3,3,3,3,5,5,4,5,5,5,5,5,3,3,5,1,2,5,0,5,0,12
72,D:\Z - Saved SQL Databases\44OP-080108_Austin_Treasury\JobDB.mdf,7,102,14,0,88,0,0,0,0,6,5,5,6,6,3,4,5,6,6,13,5,6,2,2,2,5,3,7,1,2,2,0,5,0,15
73,D:\Z - Saved SQL Databases\44OP-148387_BU_FORMAN_LAB\JobDB.mdf,6,40,0,0,22,18,0,0,0,2,2,3,3,9,3,3,3,9,3,6,14,3,2,2,3,3,3,3,1,2,14,0,3,0,14
74,D:\Z - Saved SQL Databases\44OP-154681_Baylor_BRIC_OAHU_E2\JobDB.mdf,87,816,2,5,529,276,4,0,0,2,10,8,93,3,4,3,8,3,11,29,94,15,2,2,2,6,3,15,1,2,6,0,7,0,95
75,D:\Z - Saved SQL Databases\44OP-120702_Seton_HL_Nuclear\JobDB.mdf,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,D:\Z - Saved SQL Databases\44OP-112425_East_Village_North\JobDB.mdf,27,151,0,2,133,16,0,0,0,9,9,9,9,3,3,3,9,25,9,31,33,9,2,2,2,5,3,12,1,2,33,0,8,0,35
77,D:\Z - Saved SQL Databases\44OP-159849 EERC\JobDB.mdf,290,2294,0,1,968,1149,124,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,D:\Z - Saved SQL Databases\44OP-162206_MCC_CSC_Module_E_Chiller\JobDB.mdf,2,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,D:\Z - Saved SQL Databases\44OP-135704_BU_South_Russell\JobDB.mdf,24,156,0,5,150,1,0,0,0,4,4,4,9,3,3,3,4,3,4,8,10,8,2,2,2,3,3,10,1,2,32,0,9,0,32
80,D:\Z - Saved SQL Databases\44OP-129261_100_Congress_Central_Plant_Upgrade\JobDB.mdf,31,269,108,1,0,152,8,0,0,5,4,5,35,3,3,3,3,4,5,27,5,5,5,5,2,4,3,5,1,2,5,0,5,0,39
81,D:\Z - Saved SQL Databases\44OP-159849 EERC-CHASE\JobDB.mdf,5,3266,0,18,1519,1286,310,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,D:\Z - Saved SQL Databases\44OP-162224_MCC_CSC_Module_A_RTU\JobDB.mdf,11,193,0,0,173,20,0,0,0,13,2,13,13,3,5,3,13,10,13,16,13,13,2,2,2,5,3,13,1,2,2,0,12,0,19
83,D:\Z - Saved SQL Databases\44OP-171494_Baylor_BRIC_Dr_Rylander\JobDB.mdf,157,7904,771,89,4125,2671,218,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,D:\Z - Saved SQL Databases\44OP-106650_SETON_NW_OR\JobDB.mdf,9,88,0,0,86,2,0,0,0,3,2,3,3,3,3,3,3,3,3,2,5,3,2,2,5,3,3,5,1,2,5,0,5,0,17
85,D:\Z - Saved SQL Databases\44OP-156522_TxDOT_Acid_Hood\JobDB.mdf,35,77,0,0,0,40,37,0,0,12,4,4,12,18,4,3,4,18,12,16,43,12,2,2,2,4,3,12,1,2,43,0,11,0,43
86,D:\Z - Saved SQL Databases\44OP-159998 HMSL Expansion BP1\JobDB.mdf,41,433,70,5,285,73,0,0,0,2,2,6,30,3,5,3,3,5,13,24,23,16,2,2,2,6,3,17,1,2,2,0,21,0,49
87,D:\Z - Saved SQL Databases\44OP-166320_TXSU_MSH\JobDB.mdf,32,257,0,2,249,6,0,0,0,2,15,15,19,3,3,4,3,13,15,16,22,17,2,2,2,5,3,20,1,2,20,0,20,0,40
88,D:\Z - Saved SQL Databases\44OP-164908_UT_Dell_Medical_School_Research_Building\JobDB.mdf,37,241,0,0,149,62,30,0,0,28,8,3,28,3,3,3,3,40,3,27,44,15,2,2,2,5,3,15,1,2,3,0,15,0,45
89,D:\Z - Saved SQL Databases\44OP-156536_BU_North_Russell\JobDB.mdf,42,197,0,5,192,0,0,0,0,2,2,6,12,10,3,3,6,10,6,35,10,8,2,2,2,6,3,13,2,2,11,0,10,0,50
90,D:\Z - Saved SQL Databases\44OP-140409_SAMC_BMT_Oncology\JobDB.mdf,7,81,0,0,0,81,0,0,0,4,3,3,4,4,3,3,3,4,3,3,4,4,3,3,4,3,3,4,1,2,4,0,4,0,15
91,D:\Z - Saved SQL Databases\44OP-148596_UT_Townes_Hall\JobDB.mdf,17,150,0,2,145,3,0,0,0,12,8,8,10,3,3,3,3,4,8,9,12,9,2,2,2,5,3,12,1,2,12,0,12,0,25
92,D:\Z - Saved SQL Databases\44OP-170036_UT_Townes_Hall_HVAC_Proj_Ph_2\JobDB.mdf,8,96,0,0,88,8,0,0,0,6,3,3,6,16,3,3,3,16,5,5,16,5,2,2,2,4,3,6,1,2,6,0,6,0,16
93,D:\Z - Saved SQL Databases\44OP-149635_Baylor_Migrations\JobDB.mdf,16,90,0,1,70,19,0,0,0,4,4,4,9,3,3,3,4,24,4,7,10,5,4,4,6,3,3,8,1,2,24,0,10,0,24
94,D:\Z - Saved SQL Databases\44OP-136475_UT_HRC\JobDB.mdf,31,190,0,0,178,12,0,0,0,8,5,5,8,3,3,3,5,15,5,19,39,6,2,2,2,4,3,9,1,2,2,0,9,0,39
95,D:\Z - Saved SQL Databases\44OP-167712_Block_23_Greenwater_Office_Bldg\JobDB.mdf,64,368,1,2,342,19,4,0,0,3,2,7,26,4,12,5,7,19,7,20,72,22,2,2,2,5,3,23,1,2,30,0,18,0,72
96,D:\Z - Saved SQL Databases\44OP-159393_SDMC_32nd_PH_5\JobDB.mdf,1,27,0,0,27,0,0,0,0,2,4,4,2,9,4,3,4,9,7,5,9,7,2,2,2,7,3,7,1,2,8,0,7,0,9
97,D:\Z - Saved SQL Databases\44OP-138815_TXSU_CoGen_Plant_BAS_Mods\JobDB.mdf,61,445,0,4,388,48,5,0,0,2,3,3,69,3,6,3,3,68,38,20,68,54,2,2,2,6,3,25,1,2,51,0,26,0,69
98,D:\Z - Saved SQL Databases\44OP-127491_MCC_CSC_BLDG_F\JobDB.mdf,6,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,D:\Z - Saved SQL Databases\44OP-132975_TFC_Rudder_Building\JobDB.mdf,13,107,0,2,104,1,0,0,0,7,7,7,8,3,3,5,7,5,7,7,11,7,2,2,2,7,3,11,1,2,9,0,9,0,21
100,D:\Z - Saved SQL Databases\44OP-150007_Cirrus_Logic_Ph2\JobDB.mdf,12,48,0,2,35,11,0,0,0,7,4,4,7,4,3,3,4,4,4,10,20,6,2,2,2,4,3,8,1,2,20,0,8,0,20
101,D:\Z - Saved SQL Databases\44OP-181789_TXSU_MCS\JobDB.mdf,7,166,0,2,45,119,0,0,0,3,3,3,15,3,3,3,3,15,3,14,11,14,3,3,3,3,3,3,1,2,4,0,13,0,13
102,D:\Z - Saved SQL Databases\44OP-198461_TXSU_Lantana CHW\JobDB.mdf,4,17,0,0,2,15,0,0,0,5,5,5,4,3,3,4,4,12,5,4,12,12,2,2,2,4,3,4,1,2,12,0,5,0,12
103,D:\Z - Saved SQL Databases\44OP-197274_TXSU_Ag_Bldg\JobDB.mdf,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,D:\Z - Saved SQL Databases\44OP-181323_Sabinal_Renovation\JobDB.mdf,12,146,0,2,54,90,0,0,0,2,2,3,18,3,3,3,3,18,3,20,17,2,2,2,2,3,3,3,1,2,17,0,17,0,20
105,D:\Z - Saved SQL Databases\44OP-176407_TFC_DSHS_LAB_MBC_29_VFDS_AHU_2\JobDB.mdf,15,115,0,0,19,88,8,0,0,4,3,3,23,3,3,3,3,18,4,10,23,23,2,2,2,3,3,6,1,2,2,0,18,0,23
106,D:\Z - Saved SQL Databases\44OP-179696_TXSU_Star_One_Addition\JobDB.mdf,45,95,0,0,94,1,0,0,0,6,3,3,8,3,3,3,3,3,3,9,53,6,2,2,2,3,3,7,1,2,52,0,8,0,53
107,D:\Z - Saved SQL Databases\44OP-173327_Baylor_Memorial_Dorm_Dining_Hall\JobDB.mdf,10,115,0,0,87,28,0,0,0,4,4,4,7,12,3,3,4,12,4,18,4,4,4,4,4,3,3,4,1,2,8,0,4,0,18
108,D:\Z - Saved SQL Databases\44OP-185054_Baylor_Old_Main\JobDB.mdf,5,126,0,0,49,77,0,0,0,5,5,5,13,12,5,3,5,12,5,13,13,13,2,2,2,5,3,5,1,2,6,0,5,0,13
109,D:\Z - Saved SQL Databases\44OP-176715_Seton\JobDB.mdf,807,807,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,D:\Z - Saved SQL Databases\44OP-178936_ACC_Bond_Service_Center_Controls\JobDB.mdf,9,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,D:\Z - Saved SQL Databases\44OP-172850_RRMC_Hybrid_OR\JobDB.mdf,2,14,0,0,0,14,0,0,0,2,2,3,2,9,3,3,3,9,4,10,10,10,2,2,2,4,3,2,2,2,2,0,2,0,10
112,D:\Z - Saved SQL Databases\44OP-196125_TXSU_Strahan_AHU11\JobDB.mdf,1,29,0,0,16,13,0,0,0,8,2,5,2,3,3,3,4,4,8,7,9,5,2,2,2,4,3,5,1,2,5,0,5,0,9
113,D:\Z - Saved SQL Databases\44OP-208597_ACC_Leander_Campus\JobDB.mdf,152,719,0,0,0,622,97,0,0,2,9,9,30,3,5,4,9,7,10,87,160,10,4,4,4,5,3,18,1,2,143,0,19,0,160
114,D:\Z - Saved SQL Databases\44OP-186227_Baylor_Hankamer\JobDB.mdf,37,232,0,2,218,12,0,0,0,10,8,8,10,3,3,3,5,25,8,8,10,8,2,2,2,5,3,10,1,2,43,0,9,0,45
115,D:\Z - Saved SQL Databases\44OP-195316_SAMC_3rd Floor PH_2_Renovation\JobDB.mdf,9,59,0,1,7,41,10,0,0,3,2,3,3,3,3,3,3,3,3,15,3,3,3,3,3,3,3,3,1,2,3,0,3,0,17
